name                                  ,profile_url                                           ,address                                                                                                                                                                                                                                       ,email                            ,social_media                   ,picture
Chris BurdickDistrict 93              ,https://nyassembly.gov/mem/Chris-Burdick              ,"333 N. Bedford Rd.Suite 131Mount Kisco, NY 10549914-244-4450LOB 417Albany, NY 12248518-455-5397"                                                                                                                                             ,burdickc@nyassembly.gov          ,                               ,
Patrick BurkeDistrict 142             ,https://nyassembly.gov/mem/Patrick-Burke              ,"3686 Seneca StreetWest Seneca, NY 14224716-608-6099LOB 842Albany, NY 12248518-455-4691"                                                                                                                                                      ,burkep@nyassembly.gov            ,No social media info available ,
Noah BurroughsDistrict 18             ,https://nyassembly.gov/mem/Noah-Burroughs             ,"33 Front StreetSuites 302 & 303Hempstead, NY 11550516-489-6610LOB 323Albany, NY 12248518-455-5861"                                                                                                                                           ,burroughsn@nyassembly.gov        ,No social media info available ,
Marianne ButtenschonDistrict 119      ,https://nyassembly.gov/mem/Marianne-Buttenschon       ,"207 Genesee StreetRm 401Utica, NY 13501315-732-1055Fax: 315-732-1413LOB 622Albany, NY 12248518-455-5454Fax: 518-455-5928"                                                                                                                    ,buttenschonm@nyassembly.gov      ,                               ,
Patrick J. CarrollDistrict 96         ,https://nyassembly.gov/mem/Patrick-J-Carroll          ,"151 N. Main St., Suite 204New City, NY 10956845-634-9791LOB 631Albany, NY 12248518-455-5735"                                                                                                                                                 ,carrollp@nyassembly.gov          ,                               ,
Robert C. CarrollDistrict 44          ,https://nyassembly.gov/mem/Robert-C-Carroll           ,"416 Seventh AvenueBrooklyn, NY 11215718-788-7221Fax: 718-965-9378LOB 557Albany, NY 12248518-455-5377Fax: 518-455-5592"                                                                                                                       ,CarrollR@nyassembly.gov          ,No social media info available ,
Monique Chandler-WatermanDistrict 58  ,https://nyassembly.gov/mem/Monique-Chandler-Waterman  ,"903 Utica AvenueBrooklyn, NY 11203718-385-3336LOB 656Albany, NY 12248518-455-4166"                                                                                                                                                           ,chandlerwatermanm@nyassembly.gov ,No social media info available ,
Lester ChangDistrict 49               ,https://nyassembly.gov/mem/Lester-Chang               ,"6904 Fort Hamilton Pkwy.Brooklyn, NY 11228718-236-1764Fax: 718-234-0986LOB 523Albany, NY 12248518-455-3060"                                                                                                                                  ,changl@nyassembly.gov            ,No social media info available ,
Patrick J. ChludzinskiDistrict 143    ,https://nyassembly.gov/mem/Patrick-J-Chludzinski      ,"2562 Walden AvenueSuite 102Cheektowaga, NY 14225716-686-0080Fax: 716-686-3752LOB 629Albany, NY 12248518-455-5921Fax: 518-455-3962"                                                                                                           ,chludzinskip@nyassembly.gov      ,No social media info available ,
Sarah ClarkDistrict 136               ,https://nyassembly.gov/mem/Sarah-Clark                ,"500 Helendale RoadSuite 90Rochester, NY 14609585-467-0410Fax: 585-467-5342LOB 746Albany, NY 12248518-455-5373Fax: 518-455-5647"                                                                                                              ,clarks@nyassembly.gov            ,No social media info available ,
William ColtonDistrict 47             ,https://nyassembly.gov/mem/William-Colton             ,"155 Kings HighwayBrooklyn, NY 11223718-236-1598LOB 733Albany, NY 12248518-455-5828"                                                                                                                                                          ,ColtonW@nyassembly.gov           ,No social media info available ,
William ConradDistrict 140            ,https://nyassembly.gov/mem/William-Conrad             ,"34 Peuquet ParkwayTonawanda, NY 14150716-873-2540Fax: 716-744-2644LOB 639Albany, NY 12248518-455-4767"                                                                                                                                       ,conradw@nyassembly.gov           ,                               ,
Vivian E. CookDistrict 32             ,https://nyassembly.gov/mem/Vivian-E-Cook              ,"142-15 Rockaway BlvdJamaica, NY 11436718-322-3975LOB 939Albany, NY 12248518-455-4203"                                                                                                                                                        ,CookV@nyassembly.gov             ,No social media info available ,
Catalina CruzDistrict 39              ,https://nyassembly.gov/mem/Catalina-Cruz              ,"41-40 Junction BlvdCorona, NY 11368718-458-5367Fax: 718-478-2371LOB 652Albany, NY 12248518-455-4567"                                                                                                                                         ,cruzc@nyassembly.gov             ,                               ,
Brian CunninghamDistrict 43           ,https://nyassembly.gov/mem/Brian-Cunningham           ,"249 Empire BlvdBrooklyn, NY 11225718-771-3105Fax: 718-771-3276LOB 555Albany, NY 12248518-455-5262"                                                                                                                                           ,cunninghamba@nyassembly.gov      ,                               ,
Landon C. DaisDistrict 77             ,https://nyassembly.gov/mem/Landon-C-Dais              ,"910 Grand ConcourseSuite 1JKBronx, NY 10451718-538-2000Fax: 718-538-3128LOB 834Albany, NY 12248518-455-5671Fax: 518-455-5461"                                                                                                                ,daisl@nyassembly.gov             ,No social media info available ,
Maritza DavilaDistrict 53             ,https://nyassembly.gov/mem/Maritza-Davila             ,"673 Hart StreetUnit C2Brooklyn, NY 11221718-443-1205Fax: 718-443-1424LOB 844Albany, NY 12248518-455-5537Fax: 518-455-5789"                                                                                                                   ,DavilaM@nyassembly.gov           ,                               ,
Manny De Los SantosDistrict 72        ,https://nyassembly.gov/mem/Manny-De-Los-Santos        ,"210 Sherman AveSte A&CNew York, NY 10034212-544-2278LOB 454Albany, NY 12248518-455-5807"                                                                                                                                                     ,delossm@nyassembly.gov           ,                               ,
Joe DeStefanoDistrict 3               ,https://nyassembly.gov/mem/Joe-DeStefano              ,"3245 Route 112Building 2, Ste. 6Medford, NY 11763631-207-0073Fax: 631-732-1798LOB 430Albany, NY 12248518-455-4901Fax: 518-455-5908"                                                                                                          ,destefanoj@nyassembly.gov        ,No social media info available ,
Erik M. DilanDistrict 54              ,https://nyassembly.gov/mem/Erik-M-Dilan               ,"366 Cornelia StBrooklyn, NY 11237718-386-4576Fax: 718-386-4575LOB 526Albany, NY 12248518-455-5821"                                                                                                                                           ,DilanE@nyassembly.gov            ,No social media info available ,
Jeffrey DinowitzDistrict 81           ,https://nyassembly.gov/mem/Jeffrey-Dinowitz           ,"3107 Kingsbridge AvenueBronx, NY 10463718-796-5345Fax: 718-796-0694LOB 632Albany, NY 12248518-455-5965Fax: 518-455-4437"                                                                                                                     ,DinowitzJ@nyassembly.gov         ,                               ,
David DiPietroDistrict 147            ,https://nyassembly.gov/mem/David-DiPietro             ,"411 Main St.E. Aurora, NY 14052716-655-0951Fax: 716-655-0970LOB 546Albany, NY 12248518-455-5314Fax: 518-455-5691"                                                                                                                            ,DiPietroD@nyassembly.gov         ,No social media info available ,
Michael DursoDistrict 9               ,https://nyassembly.gov/mem/Michael-Durso              ,"512 Park Blvd.Massapequa Park, NY 11762516-541-4598Fax: 516-541-4625LOB 723Albany, NY 12248518-455-5305Fax: 518-455-5024"                                                                                                                    ,dursom@nyassembly.gov            ,No social media info available ,
Chris EachusDistrict 99               ,https://nyassembly.gov/mem/Chris-Eachus               ,"34 Smith Clove RoadCentral Valley, NY 10917845-469-6929Fax: 845-460-2185LOB 628Albany, NY 12248518-455-5441Fax: 518-455-5884"                                                                                                                ,eachusc@nyassembly.gov           ,No social media info available ,
Simcha EichensteinDistrict 48         ,https://nyassembly.gov/mem/Simcha-Eichenstein         ,"1310 48th St.Unit 204Brooklyn, NY 11219718-853-9616Fax: 718-436-5734LOB 519Albany, NY 12248518-455-5721Fax: 518-455-5948"                                                                                                                    ,EichensteinS@nyassembly.gov      ,No social media info available ,
Harvey EpsteinDistrict 74             ,https://nyassembly.gov/mem/Harvey-Epstein             ,"107 & 109 Avenue BNew York, NY 10009212-979-9696LOB 419Albany, NY 12248518-455-5506"                                                                                                                                                         ,epsteinh@nyassembly.gov          ,No social media info available ,
Charles D. FallDistrict 61            ,https://nyassembly.gov/mem/Charles-D-Fall             ,"853 Forest AvenueStaten Island, NY 10310718-442-9932250 Broadway22nd Floor Suite 2203New York, NY 10007718-442-9932Fax: 718-442-9942LOB 729Albany, NY 12248518-455-4677"                                                                     ,fallc@nyassembly.gov             ,No social media info available ,
Michael J. FitzpatrickDistrict 8      ,https://nyassembly.gov/mem/Michael-J-Fitzpatrick      ,"285 Middle Country Rd.Suite 202Smithtown, NY 11787631-724-2929Fax: 631-724-3024LOB 458Albany, NY 12248518-455-5021Fax: 518-455-4394"                                                                                                         ,FitzpatrickM@nyassembly.gov      ,No social media info available ,
Phara Souffrant ForrestDistrict 57    ,https://nyassembly.gov/mem/Phara-Souffrant-Forrest    ,"55 Hanson PlaceBrooklyn, NY 11217718-596-0100LOB 731Albany, NY 12248518-455-5325"                                                                                                                                                            ,souffrantforrestp@nyassembly.gov ,No social media info available ,
Christopher S. FriendDistrict 124     ,https://nyassembly.gov/mem/Christopher-S-Friend       ,"1250 Schweizer Rd.Horseheads, NY 14845607-562-3602Fax: 607-739-1090LOB 938Albany, NY 12248518-455-4538Fax: 518-455-5922"                                                                                                                     ,friendc@nyassembly.gov           ,No social media info available ,
Emily GallagherDistrict 50            ,https://nyassembly.gov/mem/Emily-Gallagher            ,"685A Manhattan AveBrooklyn, NY 11222718-383-7474LOB 441Albany, NY 12248518-455-4477"                                                                                                                                                         ,gallaghere@nyassembly.gov        ,No social media info available ,
Jeff GallahanDistrict 131             ,https://nyassembly.gov/mem/Jeff-Gallahan              ,"70 Elizabeth Blackwell St.Geneva, NY 14456315-781-2030Fax: 315-781-1746Moravia Town Hall1630 State Route 38Moravia, NY 13118315-497-0354LOB 725Albany, NY 12248518-455-3979Fax: 518-455-7013"                                                ,gallahanj@nyassembly.gov         ,                               ,
Jarett GandolfoDistrict 7             ,https://nyassembly.gov/mem/Jarett-Gandolfo            ,"859 Montauk HighwaySuite 1Bayport, NY 11705631-589-0348Fax: 631-589-0487LOB 450Albany, NY 12248518-455-4611Fax: 518-455-5258"                                                                                                                ,gandolfoj@nyassembly.gov         ,No social media info available ,
Edward GibbsDistrict 68               ,https://nyassembly.gov/mem/Edward-Gibbs               ,"55 East 115th StGround LevelNew York, NY 10029212-828-3953LOB 734Albany, NY 12248518-455-4781"                                                                                                                                               ,gibbse@nyassembly.gov            ,                               ,
Jodi GiglioDistrict 2                 ,https://nyassembly.gov/mem/Jodi-Giglio                ,"30  West Main StreetSuite 103Riverhead, NY 11901631-727-0204Fax: 631-727-0426LOB 329Albany, NY 12248518-455-5294Fax: 518-455-4740"                                                                                                           ,giglioj2@nyassembly.gov          ,No social media info available ,
Deborah J. GlickDistrict 66           ,https://nyassembly.gov/mem/Deborah-J-Glick            ,"853 BroadwaySuite 2007New York, NY 10003212-674-5153LOB 621Albany, NY 12248518-455-4841"                                                                                                                                                     ,GlickD@nyassembly.gov            ,No social media info available ,
Jessica González-RojasDistrict 34     ,https://nyassembly.gov/mem/Jessica-Gonzalez-Rojas     ,"75-35 31st Ave.Suite 206B (2nd Floor)East Elmhurst, NY 11370718-457-0384Fax: 718-335-8254LOB 654Albany, NY 12248518-455-4545"                                                                                                                ,gonzalezrojasj@nyassembly.gov    ,No social media info available ,
Scott GrayDistrict 116                ,https://nyassembly.gov/mem/Scott-Gray                 ,"317 Washington StreetSuite 210, Dulles State Office BuildingWatertown, NY 13601315-786-0284Fax: 315-786-02873 Remington AveCanton, NY 13617315-386-2037Fax: 315-386-2041LOB 940Albany, NY 12248518-455-5545Fax: 518-455-5751"                ,grays@nyassembly.gov             ,No social media info available ,
Judy GriffinDistrict 21               ,https://nyassembly.gov/mem/Judy-Griffin               ,"74 N. Village Ave.Rockville Centre, NY 11570516-561-8216LOB 452Albany, NY 12248518-455-5801"                                                                                                                                                 ,griffinj@nyassembly.gov          ,No social media info available ,
Stephen HawleyDistrict 139            ,https://nyassembly.gov/mem/Stephen-Hawley             ,"121 N. Main StreetSuite 100Albion, NY 14411585-589-5780Fax: 585-589-5813LOB 521Albany, NY 12248518-455-5811Fax: 518-455-5558"                                                                                                                ,HawleyS@nyassembly.gov           ,No social media info available ,
Carl E. HeastieDistrict 83            ,https://nyassembly.gov/mem/Carl-E-Heastie             ,"1446 East Gun Hill RoadBronx, NY 10469718-654-6539Fax: 718-654-5836LOB 932Albany, NY 12248518-455-3791Fax: 518-455-5459"                                                                                                                     ,Speaker@nyassembly.gov           ,                               ,
Andrew HevesiDistrict 28              ,https://nyassembly.gov/mem/Andrew-Hevesi              ,"70-50 Austin StreetSuite 114Forest Hills, NY 11375718-263-5595LOB 626Albany, NY 12248518-455-4926"                                                                                                                                           ,HevesiA@nyassembly.gov           ,                               ,
Larinda C. HooksDistrict 35           ,https://nyassembly.gov/mem/Larinda-C-Hooks            ,"98-09 Northern Blvd.Corona, NY 11368718-457-3615Fax: 718-457-3640LOB 633Albany, NY 12248518-455-4561Fax: 518-455-4565"                                                                                                                       ,hooksl@nyassembly.gov            ,No social media info available ,
Pamela J. HunterDistrict 128          ,https://nyassembly.gov/mem/Pamela-J-Hunter            ,"711 East Genesee Street2nd FloorSyracuse, NY 13210-1540315-449-9536LOB 646Albany, NY 12248518-455-5383"                                                                                                                                      ,HunterP@nyassembly.gov           ,No social media info available ,
Alicia HyndmanDistrict 29             ,https://nyassembly.gov/mem/Alicia-Hyndman             ,"232-06A Merrick Blvd.Springfield Gardens, NY 11413718-723-5412LOB 717Albany, NY 12248518-455-4451"                                                                                                                                           ,hyndmana@nyassembly.gov          ,No social media info available ,
Chantel JacksonDistrict 79            ,https://nyassembly.gov/mem/Chantel-Jackson            ,"780 Concourse Village WestGround Fl. ProfessionalBronx, NY 10451718-538-3829Fax: 718-588-0159LOB 547Albany, NY 12248518-455-5272Fax: 518-455-5925"                                                                                           ,Jacksonc@nyassembly.gov          ,                               ,
Jonathan G. JacobsonDistrict 104      ,https://nyassembly.gov/mem/Jonathan-G-Jacobson        ,"436 Robinson AvenueSuite BNewburgh, NY 12550845-562-0888Fax: 845-561-5218One Civic Center PlazaSuite 101Poughkeepsie, NY 12601845-763-7011LOB 650Albany, NY 12248518-455-5762Fax: 518-455-5593"                                              ,jacobsonj@nyassembly.gov         ,                               ,
Josh JensenDistrict 134               ,https://nyassembly.gov/mem/Josh-Jensen                ,"2496 West Ridge Rd.Rochester, NY 14626585-225-4190Fax: 585-225-6502LOB Room 402Albany, NY 12248518-455-4664Fax: 518-455-3093"                                                                                                                ,jensenj@nyassembly.gov           ,No social media info available ,
Billy JonesDistrict 115               ,https://nyassembly.gov/mem/Billy-Jones                ,"202 U.S. OvalPlattsburgh, NY 12903518-562-1986LOB 837Albany, NY 12248518-455-5943"                                                                                                                                                           ,jonesb@nyassembly.gov            ,                               ,
Rebecca KassayDistrict 4              ,https://nyassembly.gov/mem/Rebecca-Kassay             ,"149 Main StreetEast Setauket, NY 11733631-751-3094Fax: 631-751-0280LOB 921Albany, NY 12248518-455-3600"                                                                                                                                      ,kassayr@nyassembly.gov           ,No social media info available ,
Paula Elaine KayDistrict 100          ,https://nyassembly.gov/mem/Paula-Elaine-Kay           ,"461 BroadwayMonticello, NY 12701845-794-5807Middletown City Hall, 3rd floor16 James StreetMiddletown, NY 10940845-342-9304LOB 435Albany, NY 12248518-455-5355"                                                                               ,kayp@nyassembly.gov              ,No social media info available ,
Dr. Anna R. KellesDistrict 125        ,https://nyassembly.gov/mem/Anna-R-Kelles              ,"130 East State StreetIthaca, NY 14850607-277-803083 Main StreetCortland, NY 13045607-208-2024LOB 538Albany, NY 12248518-455-5444"                                                                                                            ,kellesa@nyassembly.gov           ,No social media info available ,
Ron KimDistrict 40                    ,https://nyassembly.gov/mem/Ron-Kim                    ,"136-20 38th Ave.Suite 10AFlushing, NY 11354718-939-0195Fax: 718-939-1238LOB 712Albany, NY 12248518-455-5411Fax: 518-455-4995"                                                                                                                ,KimR@nyassembly.gov              ,No social media info available ,
Micah C. LasherDistrict 69            ,https://nyassembly.gov/mem/Micah-C-Lasher             ,"245 West 104th StreetNew York, NY 10025212-866-3970LOB 534Albany, NY 12248518-455-5603"                                                                                                                                                      ,lasherm@nyassembly.gov           ,No social media info available ,
Charles D. LavineDistrict 13          ,https://nyassembly.gov/mem/Charles-D-Lavine           ,"1 School StreetSuite 303-BGlen Cove, NY 11542516-676-0050Fax: 516-676-0071LOB 831Albany, NY 12248518-455-5456Fax: 518-455-5467"                                                                                                              ,LavineC@nyassembly.gov           ,                               ,
Grace LeeDistrict 65                  ,https://nyassembly.gov/mem/Grace-Lee                  ,"64 Fulton Street, Room 302New York, NY 10038212-312-1420Fax: 212-227-8054LOB 429Albany, NY 12248518-455-3640"                                                                                                                                ,leeg@nyassembly.gov              ,No social media info available ,
John LemondesDistrict 126             ,https://nyassembly.gov/mem/John-Lemondes              ,"69 South StreetAuburn, NY 13021315-255-3045Fax: 315-255-3048LOB 720Albany, NY 12248518-455-5878Fax: 518-455-3895"                                                                                                                            ,lemondesj@nyassembly.gov         ,No social media info available ,
Dana LevenbergDistrict 95             ,https://nyassembly.gov/mem/Dana-Levenberg             ,"8 Revolutionary RoadOssining, NY 10562914-941-1111Fax: 914-941-9132LOB 325Albany, NY 12248518-455-5348Fax: 518-455-5728"                                                                                                                     ,levenbergd@nyassembly.gov        ,                               ,
Nikki LucasDistrict 60                ,https://nyassembly.gov/mem/Nikki-Lucas                ,"425 New Lots Ave.1st FloorBrooklyn, NY 11207718-257-5824Fax: 718-257-2590LOB 702Albany, NY 12248518-455-5912"                                                                                                                                ,lucasn@nyassembly.gov            ,No social media info available ,
Jen LunsfordDistrict 135              ,https://nyassembly.gov/mem/Jen-Lunsford               ,"317 Main StreetSuite 2032East Rochester, NY 14445585-223-9130LOB 542Albany, NY 12248518-455-5784"                                                                                                                                            ,lunsfordj@nyassembly.gov         ,No social media info available ,
Donna A. LupardoDistrict 123          ,https://nyassembly.gov/mem/Donna-A-Lupardo            ,"State Office Building, 17th Floor44 Hawley St.Binghamton, NY 13901607-723-9047LOB 828Albany, NY 12248518-455-5431Fax: 518-455-5693"                                                                                                          ,LupardoD@nyassembly.gov          ,No social media info available ,
William B. MagnarelliDistrict 129     ,https://nyassembly.gov/mem/William-B-Magnarelli       ,"Room 840333 East Washington StreetSyracuse, NY 13202315-428-9651LOB 830Albany, NY 12248518-455-4826"                                                                                                                                         ,MagnarW@nyassembly.gov           ,No social media info available ,
Brian MaherDistrict 101               ,https://nyassembly.gov/mem/Brian-Maher                ,"74 West Main StreetWalden, NY 12586845-379-5001Fax: 845-778-0272LOB 819Albany, NY 12248518-455-4807Fax: 518-455-5237"                                                                                                                        ,maherb@nyassembly.gov            ,No social media info available ,
Zohran K. MamdaniDistrict 36          ,https://nyassembly.gov/mem/Zohran-K-Mamdani           ,"24-08 32nd StreetSuite 1002AAstoria, NY 11102718-545-3889LOB 456Albany, NY 12248518-455-5014"                                                                                                                                                ,mamdaniz@nyassembly.gov          ,No social media info available ,
Brian ManktelowDistrict 130           ,https://nyassembly.gov/mem/Brian-Manktelow            ,"10 Leach RoadLyons, NY 14489315-946-5166Fax: 315-946-5229LOB 320Albany, NY 12248518-455-5655Fax: 518-455-5407"                                                                                                                               ,manktelowb@nyassembly.gov        ,No social media info available ,
John T. McDonald IIIDistrict 108      ,https://nyassembly.gov/mem/John-T-McDonald-III        ,"LOB 625Albany, NY 12248518-455-4474Fax: 518-455-4727"                                                                                                                                                                                        ,McDonaldJ@nyassembly.gov         ,No social media info available ,
David G. McDonoughDistrict 14         ,https://nyassembly.gov/mem/David-G-McDonough          ,"404 Bedford Ave.Bellmore, NY 11710516-409-2070Fax: 516-409-2073LOB 443Albany, NY 12248518-455-4633Fax: 518-455-5559"                                                                                                                         ,mcdonoughd@nyassembly.gov        ,                               ,
Karen McMahonDistrict 146             ,https://nyassembly.gov/mem/Karen-McMahon              ,"5500 Main StreetSuite 224Williamsville, NY 14221716-634-1895LOB 643Albany, NY 12248518-455-4618"                                                                                                                                             ,mcmahonk@nyassembly.gov          ,No social media info available ,
Demond MeeksDistrict 137              ,https://nyassembly.gov/mem/Demond-Meeks               ,"614 W. Main StreetApartments 1-4Rochester, NY 14611585-454-3670LOB 619Albany, NY 12248518-455-5606"                                                                                                                                          ,meeksd@nyassembly.gov            ,No social media info available ,
John K. MikulinDistrict 17            ,https://nyassembly.gov/mem/John-K-Mikulin             ,"1975 Hempstead TrnpkeSuite 202East Meadow, NY 11554516-228-4960Fax: 516-228-4963LOB 550Albany, NY 12248518-455-5341Fax: 518-455-4346"                                                                                                        ,mikulinj@nyassembly.gov          ,No social media info available ,
Brian D. MillerDistrict 122           ,https://nyassembly.gov/mem/Brian-D-Miller             ,"48 Genesee St.New Hartford, NY 13413315-736-3879Fax: 315-736-3947LOB 439Albany, NY 12248518-455-5334Fax: 518-455-5391"                                                                                                                       ,millerb@nyassembly.gov           ,No social media info available ,
Marcela MitaynesDistrict 51           ,https://nyassembly.gov/mem/Marcela-Mitaynes           ,"4907 4th AvenueSuite, 1ABrooklyn, NY 11220718-492-6334Fax: 718-765-4186LOB 741Albany, NY 12248518-455-3821Fax: 518-455-3828"                                                                                                                 ,mitaynesm@nyassembly.gov         ,                               ,
Andrew M. MolitorDistrict 150         ,https://nyassembly.gov/mem/Andrew-M-Molitor           ,"Fenton Building2 E. 2nd Street, Suite 320Jamestown, NY 14701716-664-7773Fax: 716-483-0299LOB 721Albany, NY 12248518-455-4511Fax: 518-455-4328"                                                                                               ,molitora@nyassembly.gov          ,No social media info available ,
Angelo J. MorinelloDistrict 145       ,https://nyassembly.gov/mem/Angelo-J-Morinello         ,"800 Main Street, Suite 2CNiagara Falls, NY 14301716-282-6062Fax: 716-282-4226LOB 404Albany, NY 12248518-455-5284Fax: 518-455-5694"                                                                                                           ,morinelloa@nyassembly.gov        ,No social media info available ,
